COMPANY NAME,RATING,REVIEWS,INDUSTRY,INDIA HQ,BRANCHES,PACKAGE,Highly_rated_for,Critically_rated_for
Deepak Novochem Technologies,3.9,-137,Chemicals,Chiplun,4 other locations,792,"Job Security, Skill Development / Learning, Work Satisfaction",
ATS ELGI,4.2,-137,Industrial Machinery,Coimbatore,18 other locations,484,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
Zeta Global,3.4,-137,Software Product,Hyderabad / Secunderabad,5 other locations,1.1k,"Skill Development / Learning, Work Satisfaction, Salary & Benefits",
LeapScholar,3.5,-137,Bangalore / Bengaluru +16 other locations,,,410,"Work Life Balance, Salary & Benefits, Company Culture",
Christ University,3.1,-137,Education & Training,Bangalore / Bengaluru,5 other locations,594,"Skill Development / Learning, Work Life Balance, Salary & Benefits",
Velammal Educational Trust,3.5,-137,Chennai +9 other locations,,,629,Work Life Balance,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Rabindranath Tagore International Institute of Cardiac Sciences,3.9,-137,Healthcare,Kolkata,9 other locations,376,Company Culture,"Job Security, Promotions / Appraisal"
Kearney,3.4,-137,Management Consulting,Gurgaon / Gurugram,8 other locations,1.3k,"Skill Development / Learning, Work Life Balance, Job Security",
Curateq Biologics,3.4,-137,Biotechnology,Hyderabad / Secunderabad,5 other locations,619,"Job Security, Work Life Balance, Company Culture",
Scymes Services,3.5,-137,IT Services & Consulting,Mumbai,11 other locations,480,"Work Life Balance, Work Satisfaction, Salary & Benefits",
Ascent Meditech,3.4,-137,Other,Mumbai,31 other locations,611,Skill Development / Learning,"Company Culture, Salary & Benefits, Promotions / Appraisal"
Behr Hella Thermocontrol,4.1,-137,Auto Components,Pune,2 other locations,745,"Salary & Benefits, Company Culture, Work Life Balance",
Anvil Cables,3.8,-137,Semiconductors,Kolkata,25 other locations,469,"Promotions / Appraisal, Job Security, Work Life Balance",
Amazon Pay,4,-137,Bangalore / Bengaluru +31 other locations,,,557,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Fipola Retail,3.7,-137,Food Processing,Chennai,6 other locations,305,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Polestar Consulting,4.3,-137,IT Services & Consulting,Pune,17 other locations,300,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",
Drums Food International,4.6,-138,Food Processing,Mumbai,25 other locations,527,"Promotions / Appraisal, Work Satisfaction",
Gsp Power Projects,3.9,-137,Electronics Manufacturing,Faridabad,44 other locations,486,"Job Security, Salary & Benefits, Work Life Balance",
Drums Food International,4.6,-138,Food Processing,Mumbai,25 other locations,527,Salary & Benefits,
Cairn Oil,3.8,-137,Barmer +17 other locations,,,241,"Job Security, Company Culture",
Rajasthan Aushdhalaya,3.9,-137,Pharma,Mumbai,22 other locations,197,"Salary & Benefits, Promotions / Appraisal",
BASIX Academy for Building Lifelong Employability,3.8,-137,Education & Training,New Delhi,43 other locations,217,"Salary & Benefits, Skill Development / Learning, Work Life Balance",
BGD Tech PVT LTD,4,-137,IT Services & Consulting,Bangalore / Bengaluru,2 other locations,177,"Promotions / Appraisal, Job Security, Salary & Benefits",
Techavera Solutions,4.3,-137,Education & Training,Noida,4 other locations,103,"Job Security, Promotions / Appraisal, Work Satisfaction",
Advance Career Solutions,4.1,-137,Jaipur +9 other locations,,,100,"Promotions / Appraisal, Job Security, Salary & Benefits",
iSource,2.8,-136,Recruitment,Noida,18 other locations,581,"Work Life Balance, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
Madhavbaug,3.8,-136,Healthcare,Mumbai,38 other locations,371,"Job Security, Salary & Benefits, Work Life Balance",
Frontier Business Systems,3.4,-136,IT Services & Consulting,Bangalore / Bengaluru,16 other locations,868,Job Security,"Salary & Benefits, Promotions / Appraisal, Work Life Balance"
Shri Kshetra Dharmasthala Rural Development Project,3.9,-136,Bangalore / Bengaluru +46 other locations,,,303,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",
Manpasand Beverages,2.5,-136,Beverage,Vadodara,32 other locations,293,"Promotions / Appraisal, Work Satisfaction",
BizGurukul,4.1,-136,EdTech,New Delhi,13 other locations,333,"Skill Development / Learning, Job Security",
Asclepius Wellness,3.7,-136,Fitness & Wellness,Jaipur,20 other locations,469,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
Horizontal Integration,3.5,-136,IT Services & Consulting,Bangalore / Bengaluru,11 other locations,860,"Job Security, Salary & Benefits, Skill Development / Learning",
Napier Healthcare Solutions,2.4,-136,IT Services & Consulting,Hyderabad / Secunderabad,5 other locations,823,Work Life Balance,"Promotions / Appraisal, Job Security, Skill Development / Learning"
OptiSol Business Solutions,3.8,-136,IT Services & Consulting,Chennai,5 other locations,943,"Job Security, Promotions / Appraisal, Company Culture",
GTN Engineering,4,-136,Metals & Mining,Coimbatore,14 other locations,634,"Promotions / Appraisal, Salary & Benefits, Company Culture",
Brindavan Beverages,3.8,-136,Beverage,Bareilly,11 other locations,550,"Promotions / Appraisal, Job Security, Company Culture",
Alcove Realty,4,-137,Real Estate,Kolkata,5 other locations,424,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
TAAZAA,3.8,-136,IT Services & Consulting,Noida,2 other locations,717,"Job Security, Work Satisfaction, Company Culture",
Weir Minerals,3.9,-136,Metals & Mining,Bangalore / Bengaluru,9 other locations,686,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",
Shipsy,4.2,-136,Software Product,Gurgaon / Gurugram,5 other locations,640,Skill Development / Learning,"Promotions / Appraisal, Job Security"
Delux Bearings,4.3,-136,Auto Components,Surendranagar,15 other locations,598,"Job Security, Skill Development / Learning, Work Satisfaction",
Printo Document Services,3.6,-136,Retail,Bangalore / Bengaluru,10 other locations,602,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
HMT Machine Tools,4,-136,Industrial Machinery,Hyderabad / Secunderabad,16 other locations,569,Job Security,"Company Culture, Promotions / Appraisal, Salary & Benefits"
REC Power Development and Consultancy,4.1,-136,Gurgaon / Gurugram +35 other locations,,,395,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",
Veeraraghavan & Company,3.2,-136,Accounting & Auditing,Mumbai,22 other locations,392,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
SKS Ispat & Power,3.3,-136,Industrial Machinery,Raipur,7 other locations,518,"Promotions / Appraisal, Salary & Benefits, Company Culture",
Bando India,3.9,-136,Auto Components,Bangalore / Bengaluru,11 other locations,521,"Skill Development / Learning, Job Security","Salary & Benefits, Promotions / Appraisal, Company Culture"
Shahnaz Husain Group Of Companies,3.3,-136,Beauty & Personal Care,New Delhi,18 other locations,369,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
RealEstateIndia.com,4.9,-136,Real Estate,New Delhi,2 other locations,1.4k,"Salary & Benefits, Promotions / Appraisal, Company Culture",
Herman Miller,4.3,-137,Furniture & Furnishing,Bangalore / Bengaluru,5 other locations,792,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
CriticalRiver,3.2,-136,IT Services & Consulting,Hyderabad / Secunderabad,5 other locations,1k,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
AstroTalk,3.4,-136,Internet,Noida,11 other locations,452,"Work Life Balance, Company Culture, Job Security",
Hegde & Hegde Pharmaceutica,4,-136,Pharma,Mumbai,39 other locations,418,"Job Security, Company Culture, Promotions / Appraisal",
Airef Engineers,3.8,-136,Engineering & Construction,Gurgaon / Gurugram,15 other locations,469,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",
Gujarat Energy Transmission Corporation,4.1,-136,Government,Vadodara,37 other locations,346,"Salary & Benefits, Job Security, Promotions / Appraisal",
Ki Mobility Solution,3.3,-136,Software Product,Chennai,28 other locations,592,"Skill Development / Learning, Work Satisfaction, Work Life Balance",
PubMatic,3.6,-136,IT Services & Consulting,Pune,3 other locations,1.2k,"Salary & Benefits, Work Life Balance, Work Satisfaction",
MeritTrac,3.8,-136,EdTech,Bangalore / Bengaluru,14 other locations,527,"Work Life Balance, Salary & Benefits, Company Culture",
Farmson Pharmaceutical,3.2,-136,Pharma,Vadodara,9 other locations,751,"Salary & Benefits, Skill Development / Learning, Company Culture",
Rigved Technologies,3.8,-136,Emerging Technologies,Mumbai,9 other locations,635,"Promotions / Appraisal, Job Security, Skill Development / Learning",
Ivis International,3.6,-136,Law Enforcement & Security,Hyderabad / Secunderabad,12 other locations,459,"Skill Development / Learning, Company Culture, Job Security",
Poct Services,3.9,-136,Medical Equipment,Lucknow,35 other locations,416,"Company Culture, Job Security, Work Life Balance",
Linedata,3.2,-136,Internet,Mumbai,8 other locations,897,"Skill Development / Learning, Salary & Benefits, Company Culture",
Pixon Energy,4.1,-136,Electrical Equipment,Rajkot,9 other locations,497,"Promotions / Appraisal, Company Culture, Job Security",
The Calcutta Medical Research Institute,4,-136,Kolkata +4 other locations,,,422,"Job Security, Work Life Balance, Work Satisfaction",
Unicorn DenMart,4.2,-136,Medical Equipment,New Delhi,21 other locations,504,"Job Security, Work Satisfaction",
Cherry Hill Interiors,3.6,-136,Architecture & Interior Design,New Delhi,10 other locations,553,"Work Life Balance, Work Satisfaction, Salary & Benefits",
Deepak Chem Tech,3.9,-136,Bharuch +6 other locations,,,558,"Company Culture, Salary & Benefits, Work Satisfaction",
SHRI LAKSHMI STEEL SUPPLIERS,4.1,-136,Iron & Steel,Bangalore / Bengaluru,22 other locations,466,"Company Culture, Work Life Balance",Promotions / Appraisal
Oerlikon Balzers,3.8,-136,Metals & Mining,Pune,16 other locations,656,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
Futuresoft Solutions,3.3,-136,IT Services & Consulting,New Delhi,20 other locations,812,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
ASSET DEALS,4.7,-136,Gurgaon / Gurugram +4 other locations,,,98,"Salary & Benefits, Promotions / Appraisal, Job Security",
KLM Laboratories,3.8,-136,Pharma,Vadodara,30 other locations,587,"Job Security, Work Life Balance, Company Culture",
Deendayal Antyodaya Yojana-National Rural Livelihoods Mission,3.8,-136,Government,Bhopal,62 other locations,278,"Skill Development / Learning, Promotions / Appraisal, Work Satisfaction",
Complere Infosystem,4.4,-136,Software Product,Ambala,5 other locations,132,"Promotions / Appraisal, Job Security, Company Culture",
SEO Discovery,4.7,-136,Financial Services,Mohali,2 other locations,189,"Work Satisfaction, Promotions / Appraisal, Salary & Benefits",
Norwegian Cruise Line,4.2,-136,Travel & Tourism,Mumbai,10 other locations,185,"Promotions / Appraisal, Job Security, Work Life Balance",
Cummins Sales and Service,4,-136,Auto Components,Noida,17 other locations,181,"Job Security, Skill Development / Learning, Work Life Balance",
Sugam Homes,4.6,-136,Kolkata +2 other locations,,,267,"Company Culture, Work Life Balance",Promotions / Appraisal
Bausch & Lomb,3.8,-135,Medical Equipment,Gurgaon / Gurugram,20 other locations,558,"Salary & Benefits, Promotions / Appraisal, Job Security",
CommVault,3.7,-135,Software Product,Bangalore / Bengaluru,6 other locations,1.2k,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Future Market Insights,1.6,-135,Analytics & KPO,Pune,1 other locations,541,"Promotions / Appraisal, Salary & Benefits, Company Culture",
Mistral Solutions,3.6,-135,IT Services & Consulting,Bangalore / Bengaluru,6 other locations,966,"Promotions / Appraisal, Salary & Benefits, Job Security",
Aditya Birla Chemicals,3.8,-135,Chemicals,Bharuch,19 other locations,540,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
Solitaire World,3.9,-135,Real Estate,Pune,3 other locations,291,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
Sonyo Management Consultants,4.4,-135,Recruitment,New Delhi,10 other locations,347,"Job Security, Work Life Balance, Company Culture",
Areteans,3.5,-135,IT Services & Consulting,Hyderabad / Secunderabad,8 other locations,1.4k,"Job Security, Work Life Balance",
Unicommerce Esolutions,2.9,-135,Software Product,Gurgaon / Gurugram,6 other locations,883,"Promotions / Appraisal, Company Culture, Work Satisfaction",
Airtel Business,3.9,-135,Telecom,Bangalore / Bengaluru,40 other locations,833,"Job Security, Skill Development / Learning, Work Life Balance",
Sony Pictures Networks,3.7,-135,Mumbai +18 other locations,,,840,"Skill Development / Learning, Company Culture, Work Life Balance",
Birla Century,4.2,-135,Fashion & Textile,Bharuch,11 other locations,611,"Job Security, Work Life Balance",Promotions / Appraisal
Nido Machineries,3.8,-135,Industrial Machinery,Mumbai,14 other locations,537,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
Actis Technologies,4.2,-135,IT Services & Consulting,Mumbai,11 other locations,528,"Work Satisfaction, Skill Development / Learning, Work Life Balance",
Naiknavare Developers,3.8,-135,Real Estate,Pune,4 other locations,524,"Work Life Balance, Company Culture, Salary & Benefits",
Supple Tek Industries,3.1,-135,Food Processing,Amritsar,28 other locations,443,"Skill Development / Learning, Company Culture, Job Security",
Rapidtech,3.5,-135,IT Services & Consulting,Chennai,30 other locations,433,"Work Life Balance, Company Culture, Work Satisfaction",
Digital Nirvana Information Systems,3.6,-135,Software Product,Hyderabad / Secunderabad,4 other locations,623,"Job Security, Work Life Balance, Promotions / Appraisal",
Dr L H Hiranandani Hospital,3.8,-135,Healthcare,Mumbai,7 other locations,483,"Promotions / Appraisal, Job Security, Company Culture",
Avon Cycles,4,-136,Automobile,Ludhiana,4 other locations,483,"Skill Development / Learning, Company Culture, Work Satisfaction",
Nido Machineries,3.8,-135,Industrial Machinery,Mumbai,14 other locations,537,"Job Security, Promotions / Appraisal, Salary & Benefits",
Xcaliber Infotech,3.4,-135,IT Services & Consulting,Pune,4 other locations,1.1k,"Company Culture, Work Life Balance, Work Satisfaction",
Panda Retail Company,4.3,-135,Retail,Bhubaneswar,15 other locations,175,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",
Mistral Solutions,3.6,-135,IT Services & Consulting,Bangalore / Bengaluru,6 other locations,966,"Job Security, Company Culture, Skill Development / Learning",
Future Market Insights,1.6,-135,Analytics & KPO,Pune,1 other locations,541,"Work Life Balance, Company Culture",Promotions / Appraisal
Automotive Research Association of India,4.1,-135,Auto Components,Pune,3 other locations,770,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
Novopay Solutions,3,-135,Software Product,Bangalore / Bengaluru,22 other locations,723,"Job Security, Promotions / Appraisal, Work Life Balance",
B New Mobiles,3.2,-135,Electronics Manufacturing,Hyderabad / Secunderabad,30 other locations,540,Work Life Balance,"Job Security, Promotions / Appraisal, Skill Development / Learning"
Prothious Engineering Services,3.1,-135,Design,Chennai,6 other locations,359,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
Computer Generated Solutions,3.1,-135,IT Services & Consulting,Hyderabad / Secunderabad,6 other locations,944,"Promotions / Appraisal, Company Culture, Job Security",
APEEJAY EDUCATION SOCIETY,3.3,-134,Education & Training,New Delhi,15 other locations,515,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
GTT Communications,3.7,-135,Hardware & Networking,Pune,5 other locations,992,"Job Security, Work Life Balance, Company Culture",
Hills Cement Company,3.1,-135,Engineering & Construction,Guwahati,9 other locations,541,"Promotions / Appraisal, Skill Development / Learning, Company Culture",
Vikram Sarabhai Space Centre,4.5,-136,Defence & Aerospace,Thiruvananthapuram,12 other locations,388,Work Satisfaction,"Promotions / Appraisal, Work Life Balance, Salary & Benefits"
Annapurna Group,3.8,-135,FMCG,Guwahati,18 other locations,487,Job Security,"Promotions / Appraisal, Skill Development / Learning"
Hind Terminals,4.1,-135,Logistics,Mumbai,20 other locations,656,"Promotions / Appraisal, Salary & Benefits, Job Security",
Krishna Buildestates,3.8,-135,New Delhi +12 other locations,,,458,"Work Life Balance, Job Security","Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Vehant Technologies,3.9,-135,IT Services & Consulting,Noida,16 other locations,746,"Salary & Benefits, Promotions / Appraisal, Company Culture",
Shreeji Infrastructure,3.8,-135,Engineering & Construction,Bhopal,20 other locations,388,"Job Security, Work Life Balance, Company Culture",
Accel Limited,3.5,-135,IT Services & Consulting,Chennai,31 other locations,736,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",
The House of Abhinandan Lodha,3,-136,Real Estate,Mumbai,6 other locations,520,"Work Life Balance, Job Security, Work Satisfaction",
Lokmanya Multipurpose Co-op Society,3.1,-135,Financial Services,Pune,24 other locations,571,"Job Security, Salary & Benefits, Work Satisfaction",
Rakshit Drugs,3.7,-135,Pharma,Visakhapatnam,5 other locations,599,Promotions / Appraisal,
B5 Plus,3.2,-135,Iron & Steel,Vadodara,10 other locations,418,"Company Culture, Job Security, Work Satisfaction",
Louis Dreyfus Company,3.9,-135,Agriculture,Gurgaon / Gurugram,17 other locations,362,"Company Culture, Skill Development / Learning, Salary & Benefits",
Samvardhana Motherson Auto Component,3.9,-135,Electrical Equipment,Gurgaon / Gurugram,15 other locations,665,"Company Culture, Promotions / Appraisal, Skill Development / Learning",
Mahesh Edible Oil Industries,3.6,-135,FMCG,Kota,27 other locations,466,"Job Security, Promotions / Appraisal, Work Satisfaction",
Tarento Technologies,3.9,-135,IT Services & Consulting,Bangalore / Bengaluru,5 other locations,1.2k,"Job Security, Skill Development / Learning",
Loyal Textile Mills,3.6,-135,Fashion & Textile,Chennai,12 other locations,663,"Job Security, Company Culture, Work Life Balance",
GIRDHARI LAL CONSTRUCTIONS,3.8,-135,Engineering & Construction,New Delhi,25 other locations,429,"Skill Development / Learning, Company Culture, Salary & Benefits",
Damro Furniture,3.6,-135,Furniture & Furnishing,Bangalore / Bengaluru,25 other locations,452,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
Sonyo Management Consultants,4.4,-135,Recruitment,New Delhi,10 other locations,347,"Job Security, Promotions / Appraisal, Company Culture",
AccSource KPO,3.8,-135,Accounting & Auditing,Chennai,3 other locations,277,"Company Culture, Work Life Balance, Work Satisfaction",
Solitaire World,3.9,-135,Real Estate,Pune,3 other locations,291,"Skill Development / Learning, Work Life Balance",
ResearchAyu,4.5,-134,Navi Mumbai +6 other locations,,,16,"Skill Development / Learning, Job Security, Company Culture",
Saint-Gobain Abrasives,3.7,-134,Building Material,Bangalore / Bengaluru,26 other locations,712,"Skill Development / Learning, Job Security, Work Satisfaction",Promotions / Appraisal
KHD Humboldt Wedag,4.2,-134,Industrial Machinery,New Delhi,4 other locations,671,"Job Security, Promotions / Appraisal, Work Satisfaction",
Lakshmikumaran & Sridharan,3.5,-134,Legal,New Delhi,13 other locations,522,"Promotions / Appraisal, Salary & Benefits, Company Culture",
TetraSoft,3.7,-134,IT Services & Consulting,Hyderabad / Secunderabad,4 other locations,1.1k,"Job Security, Company Culture, Promotions / Appraisal",
Madras Medical Mission,4.2,-134,Healthcare,Chennai,3 other locations,459,"Promotions / Appraisal, Company Culture, Work Satisfaction",
Integrace Health,2.8,-134,Pharma,Mumbai,27 other locations,456,"Promotions / Appraisal, Job Security, Work Life Balance",
Royal HaskoningDHV,4.4,-134,Engineering & Construction,Noida,29 other locations,414,"Work Life Balance, Company Culture, Skill Development / Learning",
New Swan Enterprises,3.7,-134,Industrial Machinery,Ludhiana,9 other locations,441,"Skill Development / Learning, Work Satisfaction, Company Culture",
Multani Pharmaceuticals,4.1,-134,Pharma,New Delhi,18 other locations,434,"Promotions / Appraisal, Job Security, Salary & Benefits",
Kamlesh Kumar Singh Engineers,4.5,-134,Engineering & Construction,Panipat,19 other locations,424,"Salary & Benefits, Promotions / Appraisal, Company Culture",
Stanvac Chemicals,3.3,-134,Chemicals,Gurgaon / Gurugram,30 other locations,380,"Promotions / Appraisal, Salary & Benefits, Company Culture",
Lrs Services,3.3,-134,IT Services & Consulting,Mumbai,23 other locations,738,"Promotions / Appraisal, Job Security, Salary & Benefits",
Amalgam Steel,3.8,-134,Iron & Steel,Jamshedpur,7 other locations,715,"Job Security, Work Life Balance",Promotions / Appraisal
Wysetek Systems Technologists,3.7,-134,IT Services & Consulting,Mumbai,11 other locations,705,"Skill Development / Learning, Work Satisfaction, Company Culture",
STJ Electronics,3.8,-134,Semiconductors,New Delhi,11 other locations,682,"Salary & Benefits, Promotions / Appraisal, Company Culture",
Paras Spices,3.8,-134,Food Processing,Moga,12 other locations,647,"Company Culture, Skill Development / Learning, Work Life Balance",
Sunshine Hospitals,4,-134,Healthcare,Hyderabad / Secunderabad,17 other locations,634,"Promotions / Appraisal, Work Satisfaction, Company Culture",
Valdel Engineers & Constructors,2.9,-134,Oil & Gas,Bangalore / Bengaluru,8 other locations,640,"Skill Development / Learning, Company Culture, Job Security",
LAKME ACADEMY,3.2,-134,Beauty & Personal Care,New Delhi,37 other locations,639,"Job Security, Work Life Balance, Salary & Benefits",
ApplyBoard,2.7,-134,Internet,Gurgaon / Gurugram,9 other locations,567,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
Shivalik Prints,4.1,-134,Fashion & Textile,Faridabad,6 other locations,580,"Salary & Benefits, Company Culture, Work Satisfaction",
Icomm Tele,4.1,-134,Telecom,Hyderabad / Secunderabad,13 other locations,547,"Promotions / Appraisal, Company Culture, Salary & Benefits",
Aksh Optifibre,3.7,-134,Telecom,New Delhi,15 other locations,519,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
INDIAN DESIGNS,4,-134,Fashion & Textile,Bangalore / Bengaluru,9 other locations,492,"Job Security, Salary & Benefits, Work Life Balance",Promotions / Appraisal
Mtg Learning Media,3.9,-134,Printing & Publishing,Gurgaon / Gurugram,13 other locations,513,"Skill Development / Learning, Work Life Balance, Promotions / Appraisal",
IREP Credit Capital,4.1,-134,Financial Services,Hyderabad / Secunderabad,53 other locations,478,"Job Security, Promotions / Appraisal, Salary & Benefits",
PrimeXBT,4.7,-134,FinTech,London,3 other locations,7,"Company Culture, Skill Development / Learning, Work Life Balance",
Dr.SNS Rajalakshmi College Of Arts and Science,4.9,-134,Education & Training,Coimbatore,1 other locations,17,Company Culture,Promotions / Appraisal
DAEWOO E&C,4.3,-134,Engineering & Construction,Patna,17 other locations,157,"Work Life Balance, Job Security, Salary & Benefits",
Monotype,3.5,-134,IT Services & Consulting,Noida,4 other locations,889,"Job Security, Work Life Balance, Salary & Benefits",
SembCorp,3.9,-134,Power,Gurgaon / Gurugram,23 other locations,614,Work Life Balance,
INDOASIAN,4,-134,Semiconductors,Noida,29 other locations,425,Work Life Balance,Promotions / Appraisal
Khandelwal Laboratories,4.2,-134,Pharma,Mumbai,18 other locations,394,"Skill Development / Learning, Company Culture, Work Satisfaction",
91Squarefeet,3.3,-134,Internet,Gurgaon / Gurugram,4 other locations,345,Skill Development / Learning,"Job Security, Promotions / Appraisal"
Donaldson India Filter Systems,4.1,-134,Industrial Machinery,Gurgaon / Gurugram,7 other locations,690,"Skill Development / Learning, Work Satisfaction, Company Culture",
Viztar International,3.3,-134,Education & Training,Mumbai,19 other locations,551,Salary & Benefits,
Futran Solutions,3.8,-134,Software Product,Hyderabad / Secunderabad,3 other locations,386,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
M Tech Innovations,3.4,-134,Electronics Manufacturing,Pune,8 other locations,589,"Job Security, Company Culture, Work Life Balance",
Appcino Technologies,3.6,-134,IT Services & Consulting,Jaipur,12 other locations,445,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
F5 Networks,3.3,-134,IT Services & Consulting,Hyderabad / Secunderabad,4 other locations,1.4k,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
Hindustan Colas,3.4,-134,Engineering & Construction,Mumbai,16 other locations,559,"Work Life Balance, Company Culture, Skill Development / Learning",
Thoucentric,3.8,-134,Management Consulting,Bangalore / Bengaluru,6 other locations,1.3k,"Promotions / Appraisal, Job Security, Salary & Benefits",
Sidwal Refrigeration Industries,4.1,-134,Electrical Equipment,Faridabad,17 other locations,566,"Promotions / Appraisal, Company Culture, Work Satisfaction",
SembCorp,3.9,-134,Power,Gurgaon / Gurugram,23 other locations,614,"Company Culture, Skill Development / Learning, Work Satisfaction",
Futran Solutions,3.8,-134,Software Product,Hyderabad / Secunderabad,3 other locations,386,Work Life Balance,Promotions / Appraisal
Donaldson India Filter Systems,4.1,-134,Industrial Machinery,Gurgaon / Gurugram,7 other locations,690,Salary & Benefits,
Viztar International,3.3,-134,Education & Training,Mumbai,19 other locations,551,"Work Life Balance, Company Culture, Salary & Benefits",Job Security
Appcino Technologies,3.6,-134,IT Services & Consulting,Jaipur,12 other locations,445,"Work Life Balance, Company Culture, Job Security",
F5 Networks,3.3,-134,IT Services & Consulting,Hyderabad / Secunderabad,4 other locations,1.4k,"Promotions / Appraisal, Salary & Benefits, Job Security",
M Tech Innovations,3.4,-134,Electronics Manufacturing,Pune,8 other locations,589,"Work Life Balance, Job Security",Promotions / Appraisal
Sarvatra Technologies,4.2,-134,Pune +10 other locations,,,1.1k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Sagacious IP,3.3,-134,Gurgaon / Gurugram +5 other locations,,,577,Work Satisfaction,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Specsmakers Opticians,3.7,-134,Retail,Chennai,18 other locations,591,"Job Security, Promotions / Appraisal, Salary & Benefits",
Market Research Future Reports,3.9,-134,Analytics & KPO,Pune,2 other locations,389,"Skill Development / Learning, Company Culture, Work Satisfaction",
Milliman,3.9,-134,Management Consulting,Gurgaon / Gurugram,4 other locations,943,Skill Development / Learning,"Job Security, Promotions / Appraisal"
Cherise India,4.3,-134,Beverage,Pune,5 other locations,280,"Promotions / Appraisal, Company Culture, Salary & Benefits",
FabAlley,3.9,-134,Retail,Noida,14 other locations,237,"Work Satisfaction, Job Security, Work Life Balance",
India Retails & Hospitality,4.5,-134,Retail,New Delhi,8 other locations,148,Work Life Balance,
DAEWOO E&C,4.3,-134,Engineering & Construction,Patna,17 other locations,157,Work Life Balance,"Promotions / Appraisal, Job Security, Company Culture"
Country Holidays Travel India,3.5,-134,Travel & Tourism,Noida,6 other locations,49,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
Beyondriffs,4.6,-133,Education & Training,Ghaziabad,,9,"Skill Development / Learning, Work Life Balance, Promotions / Appraisal",
Daimler,3.9,-133,Automobile,Chennai,11 other locations,859,"Job Security, Company Culture, Work Life Balance",
Allzone Management Solutions,4.4,-133,Analytics & KPO,Chennai,5 other locations,375,"Work Life Balance, Company Culture",Promotions / Appraisal
Allzone Management Solutions,4.4,-133,Analytics & KPO,Chennai,5 other locations,375,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
Gemini Consulting & Services,3.8,-133,IT Services & Consulting,Hyderabad / Secunderabad,9 other locations,1.1k,Company Culture,Promotions / Appraisal
Eskag Pharma,3.3,-133,Pharma,Kolkata,20 other locations,461,"Work Life Balance, Job Security, Salary & Benefits",
Homeocare International,3.6,-133,Healthcare,Hyderabad / Secunderabad,23 other locations,393,"Job Security, Work Life Balance, Salary & Benefits",
Daimler,3.9,-133,Automobile,Chennai,11 other locations,859,Work Life Balance,
Portescap,3.8,-133,Electronics Manufacturing,Mumbai,5 other locations,768,"Salary & Benefits, Company Culture, Work Life Balance",
Drytech Processes (I),3.7,-133,Food Processing,Pandhurna,7 other locations,679,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Tcg Digital Solutions,3.3,-133,IT Services & Consulting,Kolkata,5 other locations,910,Work Life Balance,Promotions / Appraisal
The Wadhwa Group,3.3,-133,Real Estate,Mumbai,5 other locations,675,"Company Culture, Work Life Balance, Salary & Benefits",
Yanfeng Automotive Interiors,3.8,-133,Auto Components,Pune,5 other locations,624,Salary & Benefits,
